movie_title,duration,imdb_score
Isn't She Great ,95,5.3
Peeples ,95,5.3
8 Heads in a Duffel Bag ,95,5.3
Tomcats ,95,5.3
Salvation Boulevard ,96,5.3
Simply Irresistible ,96,5.3
Eye See You ,96,5.3
Always Woodstock ,97,5.3
Aloft ,97,5.3
Captive ,97,5.3
The Watcher ,97,5.3
The Covenant ,97,5.3
Warlock: The Armageddon ,98,5.3
The Clan of the Cave Bear ,98,5.3
Josie and the Pussycats ,98,5.3
Loser ,98,5.3
The Tuxedo ,98,5.3
Serving Sara ,99,5.3
The Boss ,99,5.3
Spaced Invaders ,100,5.3
Timber Falls ,100,5.3
The Haunting in Connecticut 2: Ghosts of Georgia ,101,5.3
A Good Day to Die Hard ,101,5.3
Slacker Uprising ,102,5.3
"I Love You, Beth Cooper ",102,5.3
Just My Luck ,103,5.3
Aquamarine ,104,5.3
The Back-up Plan ,104,5.3
Fled ,105,5.3
I Hope They Serve Beer in Hell ,105,5.3
Misconduct ,106,5.3
Invasion U.S.A. ,107,5.3
Ready to Rumble ,107,5.3
House of Wax ,108,5.3
House of Wax ,108,5.3
The Astronaut's Wife ,109,5.3
The Astronaut's Wife ,109,5.3
Bogus ,110,5.3
Against the Ropes ,110,5.3
The Dilemma ,111,5.3
A Fine Step ,111,5.3
Sublime ,113,5.3
In the Cut ,113,5.3
"Welcome Home, Roscoe Jenkins ",114,5.3
Point Break ,114,5.3
Point Break ,114,5.3
Obitaemyy ostrov ,115,5.3
Hollywood Homicide ,116,5.3
How Do You Know ,121,5.3
By the Sea ,122,5.3
The Counselor ,138,5.3
Housefull ,144,5.3
The Jungle Book 2 ,72,5.4
Home on the Range ,76,5.4
Stuart Little 2 ,77,5.4
Camping sauvage ,79,5.4
Sanctuary; Quite a Conundrum ,82,5.4
Let's Kill Ward's Wife ,82,5.4
Glee: The 3D Concert Movie ,84,5.4
"I Love You, Don't Touch Me! ",86,5.4
When the Lights Went Out ,86,5.4
Fun Size ,86,5.4
Head Over Heels ,86,5.4
Aliens in the Attic ,86,5.4
High Road ,87,5.4
Jawbreaker ,87,5.4
Down to Earth ,87,5.4
A Nightmare on Elm Street 2: Freddy's Revenge ,87,5.4
Trade of Innocents ,88,5.4
Mars Needs Moms ,88,5.4
Big Fat Liar ,88,5.4
Big Fat Liar ,88,5.4
Old Dogs ,88,5.4
Spy Kids ,88,5.4
A Simple Wish ,89,5.4
Bride Wars ,89,5.4
Bang Bang Baby ,90,5.4
Keeping Up with the Steins ,90,5.4
After ,90,5.4
The Crocodile Hunter: Collision Course ,90,5.4
The Hit List ,90,5.4
Unfinished Business ,91,5.4
Wicked Blood ,92,5.4
Under Siege 2: Dark Territory ,92,5.4
The Eye ,92,5.4
George of the Jungle ,92,5.4
Goddess of Love ,93,5.4
Green Street 3: Never Back Down ,93,5.4
Sorority Boys ,93,5.4
See Spot Run ,94,5.4
The Guru ,94,5.4
The Spy Next Door ,94,5.4
Teeth ,94,5.4
Cheaper by the Dozen 2 ,94,5.4
Jingle All the Way ,94,5.4
Hostel: Part II ,94,5.4
Head of State ,95,5.4
Just Married ,95,5.4
The Jimmy Show ,96,5.4
Resident Evil: Retribution ,96,5.4
Evan Almighty ,96,5.4
Love in the Time of Monsters ,97,5.4
I Spy ,97,5.4
Under the Rainbow ,98,5.4
Moms' Night Out ,98,5.4
Plush ,99,5.4
Eight Legged Freaks ,99,5.4
Bangkok Dangerous ,99,5.4
Annabelle ,99,5.4
This Thing of Ours ,100,5.4
It's a Wonderful Afterlife ,100,5.4
The Adventurer: The Curse of the Midas Box ,100,5.4
Hotel for Dogs ,100,5.4
Man of the House ,100,5.4
The Green Inferno ,100,5.4
Killers ,100,5.4
Red Riding Hood ,100,5.4
Maximum Risk ,101,5.4
Grown Ups 2 ,101,5.4
Prophecy ,102,5.4
The Last Legion ,102,5.4
Tusk ,102,5.4
Land of the Lost ,102,5.4
Darkness ,103,5.4
Max Payne ,103,5.4
Prom ,104,5.4
Volcano ,104,5.4
The Smurfs 2 ,105,5.4
Stone ,105,5.4
Aloha ,105,5.4
Aloha ,105,5.4
The Loss of Sexual Innocence ,106,5.4
Viy ,107,5.4
Star Trek V: The Final Frontier ,107,5.4
The Man with the Iron Fists ,107,5.4
White Chicks ,109,5.4
The Tempest ,110,5.4
Good Deeds ,110,5.4
The Specialist ,110,5.4
Dysfunctional Friends ,111,5.4
The Young Messiah ,111,5.4
I Love Your Work ,111,5.4
Martin Lawrence Live: Runteldat ,113,5.4
Boomerang ,117,5.4
The Birth of a Nation ,120,5.4
Batman Forever ,121,5.4
Play It to the Bone ,124,5.4
Jupiter Ascending ,127,5.4
The Ring Two ,128,5.4
Blackhat ,133,5.4
The Core ,135,5.4
The Lawnmower Man ,140,5.4
Ta Ra Rum Pum ,153,5.4
November ,78,5.5
The Timber ,81,5.5
Nine Dead ,83,5.5
They Came Together ,83,5.5
The Man ,83,5.5
"Dude, Where's My Car? ",83,5.5
Casa de mi Padre ,84,5.5
Disturbing Behavior ,84,5.5
Scary Movie 3 ,84,5.5
Open Road ,85,5.5
Breakin' All the Rules ,85,5.5
We Have Your Husband ,87,5.5
Banshee Chapter ,87,5.5
Piranha 3D ,88,5.5
Domestic Disturbance ,89,5.5
The Open Road ,91,5.5
Thir13en Ghosts ,91,5.5
Ghost Ship ,91,5.5
Daddy Day Care ,92,5.5
Æon Flux ,93,5.5
"First Love, Last Rites ",94,5.5
Whatever It Takes ,94,5.5
What's the Worst That Could Happen? ,94,5.5
I Think I Love My Wife ,94,5.5
Nowhere to Run ,94,5.5
Charlie's Angels ,94,5.5
Hop ,95,5.5
MacGruber ,95,5.5
The Pacifier ,95,5.5
A True Story ,96,5.5
C.H.U.D. ,96,5.5
Battle for the Planet of the Apes ,96,5.5
Stolen ,96,5.5
Creative Control ,97,5.5
Sweet Sweetback's Baadasssss Song ,97,5.5
The House Bunny ,97,5.5
Joe Somebody ,98,5.5
Blood and Chocolate ,98,5.5
The Last Days on Mars ,98,5.5
The Whole Ten Yards ,98,5.5
Little Fockers ,98,5.5
Girl House ,99,5.5
The Wendell Baker Story ,99,5.5
Urban Legend ,99,5.5
Invaders from Mars ,100,5.5
People I Know ,100,5.5
In Dreams ,100,5.5
The Perfect Man ,100,5.5
The Scorpion King ,100,5.5
The Texas Chainsaw Massacre 2 ,101,5.5
The Innkeepers ,101,5.5
Exit Wounds ,101,5.5
Whiteout ,101,5.5
White Noise ,101,5.5
Monster-in-Law ,101,5.5
