movie_title,duration,imdb_score
Get Real             ,60,7.3
Treading Water ,92,6.2
The Pet ,94,3.9
Restoration ,92,4
All Hat ,89,5.3
The Grand             ,60,7.6
Bang ,98,6.4
Alien Zone ,79,4.1
Redemption Road ,95,5.9
And Then Came Love ,90,4.8
The Salon ,90,4.3
Mercy Streets ,106,5.6
The Basket ,105,6.5
The Christmas Bunny ,98,6.2
Dawn Patrol ,88,4.8
Lisa Picard Is Famous ,90,5.7
The Lion of Judah ,87,3.7
Mutant World ,82,2.8
The Business of Fancydancing ,103,6.9
Amigo ,124,5.8
Blood Done Sign My Name ,128,6.7
Starsuckers ,103,7.4
Straight Out of Brooklyn ,91,5.9
Royal Kill ,90,3.2
Chicken Tikka Masala ,90,5.8
The Jimmy Show ,96,5.4
Always Woodstock ,97,5.3
Hayride ,93,3.4
Love Letters ,88,6.1
Inchon ,140,2.7
Manito ,79,7
"Peace, Propaganda & the Promised Land ",80,8.3
Luminarias ,100,3.6
This Thing of Ours ,100,5.4
Penitentiary ,99,5.8
The Sleepwalker ,91,4.9
Adulterers ,91,4.9
AWOL-72 ,82,3.9
Goddess of Love ,93,5.4
Caravans ,127,6.5
Broken Vessels ,90,6.6
The Helix... Loaded ,97,1.9
Foolish ,84,4.3
Lies in Plain Sight ,89,6.3
The Night Visitor ,106,6.8
Standing Ovation ,105,3.4
N-Secure ,,3.5
Indignation ,110,7.8
B-Girl ,88,4
Good Intentions ,84,5.2
Civil Brand ,91,5.3
3 Backyards ,88,5.2
The Opposite Sex ,97,4.5
Vaalu ,155,5.1
The Work and the Glory II: American Zion ,100,6.6
Bizarre ,98,4.3
Burn ,86,7.5
Fuel ,112,7.6
The Legend of Hell's Gate: An American Conspiracy ,108,4.4
The Horse Boy ,93,7.4
Cavite ,80,6.3
Animal Kingdom: Let's go Ape ,101,4.9
"Pink Ribbons, Inc. ",97,7.4
Everything Put Together ,87,6.6
Sunday School Musical ,93,2.5
On the Outs ,86,6.9
Animals ,90,6.2
Hardflip ,112,5.6
Winnie Mandela ,104,6
Lords of London ,90,3.1
Machine Gun McCain ,96,6.2
Out of Inferno ,107,5.7
Signed Sealed Delivered ,87,7.7
Snow White: A Deadly Summer ,83,2.2
The R.M. ,101,6
Below Zero ,99,4.5
The Secret             ,45,7.3
Code of Honor ,106,4.2
Déjà Vu ,117,7
"Cinco de Mayo, La Batalla ",125,6.2
Tiger Orange ,75,6.8
Dysfunctional Friends ,111,5.4
Pandaemonium ,124,6.6
51 Birch Street ,90,7.5
Dreaming of Joseph Lees ,92,6.4
Enter the Dangerous Mind ,88,5.2
Chicago Overcoat ,94,6.2
Sugar Town ,92,6.1
Never Again ,98,6
Gabriela ,99,6.4
The Maid's Room ,98,4.5
Fighting Tommy Riley ,109,6.6
The Perfect Wave ,94,4.7
Wolf Creek             ,,7.1
This Is Martin Bonner ,83,6.6
Checkmate ,97,3.1
The Dead Undead ,89,3
The Living Wake ,91,6.5
The Wicked Within ,84,4.6
Brotherly Love ,89,7.2
Sardaar Ji ,141,6.6
Boynton Beach Club ,105,6.5
Trade of Innocents ,88,5.4
The True Story of Puss'N Boots ,80,2.9
Brave New Girl ,120,5
Supporting Characters ,87,6.3
DysFunktional Family ,89,6.6
Independence Daysaster ,90,3.4
The Pursuit of D.B. Cooper ,100,5.7
The Trials of Darryl Hunt ,106,7.7
Live-In Maid ,83,7.2
Deceptive Practice: The Mysteries and Mentors of Ricky Jay ,88,7.1
Journey from the Fall ,135,7.4
A Dog of Flanders ,100,6.3
Fugly ,134,4.7
In Her Line of Fire ,88,4.1
Da Sweet Blood of Jesus ,123,4.1
Chain of Command ,88,3.5
The Wicked Lady ,98,4
Pink Narcissus ,65,6.7
Woman Thou Art Loosed ,94,6.9
Eye of the Dolphin ,100,5.7
Among Giants ,93,5.9
Opal Dream ,86,6.6
Hav Plenty ,84,6.5
The Work and the Glory ,118,6.9
Shark Lake ,92,3.4
Against the Wild ,90,4.7
The Christmas Candle ,100,5.8
Yoga Hosers ,88,4.8
Bled ,95,3.1
Christmas Mail ,89,5.8
There Goes My Baby ,99,6.4
Unnatural ,89,4
Stiff Upper Lips ,94,6.4
Butterfly ,108,4.5
Karachi se Lahore ,,7
Jekyll and Hyde... Together Again ,87,6.2
Space Dogs ,85,5.2
Sphinx ,118,5.2
One Man's Hero ,121,6.2
Filly Brown ,80,5.7
The Last Godfather ,100,3.6
R.L. Stine's Monsterville: The Cabinet of Souls ,85,5.9
Mooz-Lum ,94,6.7
Excessive Force ,87,5.1
Roadside Romeo ,93,5.3
The Magic Flute ,135,6.6
Navy Seals vs. Zombies ,97,3.4
The Torture Chamber of Dr. Sadism ,80,6
Jesse             ,30,5.9
Hidden Away ,96,7.2
2:13 ,96,4.8
Evolution ,81,6.4
My Last Day Without You ,90,5.7
Brigham City ,119,7.2
Tycoon ,95,6.2
Freedom ,94,6.2
Sur le seuil ,99,6.6
Trippin' ,94,5.2
Scott Walker: 30 Century Man ,95,7.3
One to Another ,95,5.8
Go for It! ,105,3.9
La otra conquista ,106,6.8
Madison ,94,6.5
Middle of Nowhere ,97,6.5
Heartbeeps ,78,4.2
The Curse of Downers Grove ,89,4.5
Creative Control ,97,5.5
Bathing Beauty ,101,6.5
Christmas Eve ,95,5.1
The Janky Promoters ,85,5.2
The Singles Ward ,102,6.4
The Inkwell ,110,6.5
Impact Point ,90,4.3
The Mighty Macs ,99,6.5
I Want Your Money ,92,5.1
Forty Shades of Blue ,108,6
The Chambermaid on the Titanic ,101,6.8
8: The Mormon Proposition ,80,7.1
The Nutcracker ,92,5.7
Snow Queen ,80,5.3
Neal 'N' Nikki ,97,3.3
Cotton Comes to Harlem ,97,6.6
Desert Dancer ,104,6
The Perfect Match ,96,4.5
Breaking Upwards ,88,6.2
The Birth of a Nation ,120,5.4
Princess Kaiulani ,97,6.2
Fascination ,103,3.3
Xi you ji zhi: Sun Wukong san da Baigu Jing ,119,6
Mozart's Sister ,120,6.4
The Girl on the Train ,105,6
A Lego Brickumentary ,93,6.8
The Motel ,75,6.8
The Amazing Catfish ,89,7
Teacher's Pet ,74,5.8
Eddie: The Sleepwalking Cannibal ,83,5.7
Fetching Cody ,87,6.8
Just Looking ,97,6.7
The 5th Quarter ,90,5.7
It's a Wonderful Afterlife ,100,5.4
Shanghai Calling ,100,6.3
My Big Fat Independent Movie ,80,3.3
August ,99,6.1
The Tooth Fairy ,89,4.6
The Missing Person ,95,6.2
My Dog Tulip ,83,6.9
The Timber ,81,5.5
Roar ,102,6.4
The Lost Medallion: The Adventures of Billy Stone ,97,4.8
In the Name of the King: The Last Job ,86,3.3
Love's Abiding Joy ,87,7.2
Once in a Lifetime: The Extraordinary Story of the New York Cosmos ,97,7.3
High Road ,87,5.4
"Gandhi, My Father ",136,7.4
Crowsnest ,84,3.8
From a Whisper to a Scream ,92,5.9
Super Hybrid ,94,3.9
The Blue Butterfly ,97,6.3
An American Girl Holiday ,86,7.2
Newlyweds ,95,6.4
Def-Con 4 ,88,4.3
Eden ,90,4.8
Road Hard ,98,6.1
The Sisterhood of Night ,104,6.3
Containment ,77,4.8
Kiss the Bride ,100,5.7
Hits ,96,5.8
Krush Groove ,97,6.6
Open Road ,85,5.5
Bran Nue Dae ,88,6.3
The FP ,82,5.6
An Everlasting Piece ,103,6.3
The Legend of the Lone Ranger ,98,5
Illuminata ,119,6.2
3 Strikes ,82,4
Silver Medallist ,99,7.4
Jimmy and Judy ,99,6.2
Critical Care ,107,6
Without Men ,87,3.2
I Married a Strange Person! ,75,7
Walter ,94,5.3
Speedway Junky ,105,5.2
Alias Betty ,103,6.9
The Young Messiah ,111,5.4
The Love Letter ,99,7.4
The Love Letter ,99,7.4
Martin Lawrence Live: Runteldat ,113,5.4
The Dress ,95,7
Iraq for Sale: The War Profiteers ,75,7.7
The Frozen ,95,4.4
American Desi ,100,6.7
The Exploding Girl ,79,6.3
Woo ,84,3.8
Dream with the Fishes ,97,7
Chocolate: Deep Dark Secrets ,160,4.8
Darling Lili ,143,6.2
#Horror ,101,3.3
Broken Horses ,101,5.7
The Velocity of Gary ,100,5
"Lovely, Still ",90,7.3
No Vacancy ,81,4.2
The Last Sin Eater ,117,5.9
The Land Girls ,111,6.3
Saving Private Perez ,105,6
Faithful ,91,5.9
Out of the Blue ,94,7.2
Frat Party ,90,2.8
I Love Your Work ,111,5.4
20 Dates ,87,5.3
Black Nativity ,93,4.4
The Betrayed ,98,6.1
Hit the Floor             ,60,7
You Got Served: Beat the World ,91,4.5
The Swindle ,101,6.6
Finishing the Game: The Search for a New Bruce Lee ,84,6.2
R100 ,99,6.1
Interview with the Assassin ,88,6.6
The Legend of Suriyothai ,300,6.6
Barbecue ,98,6.1
The Last Time I Committed Suicide ,92,5.8
A Shine of Rainbows ,101,7.2
I Got the Hook Up ,93,3.9
Michael Jordan to the Max ,46,7.5
Love and Other Catastrophes ,76,6.4
Futuro Beach ,106,6.1
Time Changer ,95,5.6
Travelers and Magicians ,108,7.5
Stonewall ,129,4.5
The Perez Family ,113,6.2
Re-Kill ,88,5.1
Malone ,92,5.6
All Superheroes Must Die ,78,4
Rogue             ,50,6.8
Unforgotten             ,45,7.9
Journey to Saturn ,90,5.7
Desert Blue ,90,6.2
Funny Ha Ha ,85,6.4
Atlas Shrugged: Who Is John Galt? ,99,4.4
Firestorm ,118,6.2
Graduation Day ,96,4.5
Of Horses and Men ,81,6.9
Meet the Browns             ,30,3.5
Wicked Blood ,92,5.4
How to Fall in Love ,84,6.3
Listening ,100,5.6
The Specials ,82,6
Lucky Break ,107,6.2
Ira & Abby ,101,6.5
Galaxina ,95,3.4
Swelter ,96,4.6
The Heart of Me ,96,6.7
Slam ,100,7.2
Isn't She Great ,95,5.3
Shalako ,113,5.5
Shipwrecked ,92,6.7
The Slaughter Rule ,112,6.1
Creature             ,173,5
Girls Gone Dead ,104,3.5
Solomon and Sheba ,141,6.2
The Marine 4: Moving Target ,90,5.2
The Pirates Who Don't Do Anything: A VeggieTales Movie ,85,5.7
Detention of the Dead ,87,4.6
Ruby in Paradise ,114,7.2
Elsa & Fred ,97,6.5
The Adventures of Elmo in Grouchland ,73,5.8
90 Minutes in Heaven ,121,4.6
Don McKay ,87,5.9
Faith Like Potatoes ,116,6.9
Zombie Hunter ,93,3.5
Under the Rainbow ,98,5.4
The Blue Room ,76,6.3
Inescapable ,93,5.2
Crazy Stone ,98,7.7
Restless ,180,7.2
The Grace Card ,101,6.4
Aloft ,97,5.3
"Buen Día, Ramón ",120,7.7
Day One ,102,6.6
The Jerky Boys ,82,4.6
The Big Tease ,86,6.3
The Lovers ,109,4.5
The Lovers ,109,4.5
Amnesiac ,90,4.3
The Visual Bible: The Gospel of John ,125,7.7
Florence Foster Jenkins ,110,7.1
Dragon Nest: Warriors' Dawn ,88,6.4
Rush Hour             ,43,5.8
Warriors of Virtue ,101,4.6
"Dancer, Texas Pop. 81 ",97,6.8
March or Die ,107,6.3
Partition ,116,7
All the Queen's Men ,105,4.5
Slacker Uprising ,102,5.3
Megiddo: The Omega Code 2 ,104,4.1
Deterrence ,104,6.5
In the Heat of the Night             ,60,7.4
Meet the Deedles ,93,3.9
Tanner Hall ,96,5.9
Beastmaster 2: Through the Portal of Time ,107,3.8
Molly ,102,5.8
How to Be a Player ,93,5.3
Courage ,118,7
Trapped             ,511,8.2
The Barbarians ,87,4.8
The City of Your Final Destination ,117,6.4
Not Easily Broken ,99,6.1
Come Early Morning ,97,6.2
The Walking Deceased ,88,3.4
The Wailing ,156,7.7
The Cookout ,97,3.6
Love Ranch ,117,5.7
"A Woman, a Gun and a Noodle Shop ",95,5.7
"A Woman, a Gun and a Noodle Shop ",95,5.7
Tango ,115,7.2
Malevolence ,90,5.1
Home Run ,113,6
Stolen Summer ,91,6.5
Close Range ,80,4.9
Jefferson in Paris ,139,5.7
The Eclipse ,86,6.2
Doug's 1st Movie ,77,5
Delgo ,94,4.4
Antarctica: A Year on Ice ,91,7.6
The Geographer Drank His Globe Away ,120,7.5
The Egyptian ,139,6.6
The Nutcracker in 3D ,110,4.4
Saint John of Las Vegas ,85,5.8
The Princess and the Cobbler ,80,7.2
Megaforce ,99,3.5
I Come with the Rain ,114,5.5
Darling Companion ,103,5.1
Brick Lane ,101,6.7
Grace Unplugged ,102,6.1
Spaced Invaders ,100,5.3
The Infiltrator ,127,7.3
Blue Like Jazz ,108,6
Our Kind of Traitor ,108,6.4
Freeze Frame ,99,6.4
The Flower of Evil ,104,6.6
Undiscovered ,97,4.2
Aberdeen ,106,7.3
The Molly Maguires ,124,6.9
Higher Ground ,109,6.3
The Game of Their Lives ,101,6.2
September Dawn ,111,5.8
Out of the Dark ,92,4.7
Walking and Talking ,86,6.8
Smiling Fish & Goat on Fire ,90,7.6
Down Terrace ,93,6.5
House of Sand ,115,7.5
Lovesick             ,24,7.9
Tidal Wave ,103,5.7
Wah-Wah ,97,6.9
U2 3D ,85,8.4
Silent Trigger ,88,5.6
No Man's Land: The Rise of Reeker ,88,4.9
Prison ,102,5.9
American Hero ,86,4.9
Keeping Up with the Steins ,90,5.4
The Holy Girl ,106,6.7
Barney's Great Adventure ,76,2.8
Yes ,100,6.9
Purple Violets ,103,6.6
Safe Men ,88,6.1
Urbania ,106,7
Alien Uprising ,101,3.1
State Fair ,100,7.1
Hollywood Shuffle ,81,7
Out of the Blue ,100,7.3
November ,78,5.5
Coming Home ,109,7.3
Trucker ,90,6.7
Songcatcher ,109,7.3
Love Jones ,104,7.4
Hansel & Gretel Get Baked ,86,4.3
Closer to the Moon ,112,7.1
When the Cat's Away ,91,6.9
Thomas and the Magic Railroad ,85,3.6
The Face of an Angel ,101,4.7
Held Up ,89,5.1
The Loss of Sexual Innocence ,106,5.4
Rize ,86,7.1
Tracker ,102,6.5
Miss Julie ,129,5.6
Plush ,99,5.4
Ta Ra Rum Pum ,153,5.4
The Bridge of San Luis Rey ,120,5.1
Tumbleweeds ,102,6.7
Raise the Titanic ,119,4.7
The Open Road ,91,5.5
BrainDead             ,44,7.9
Grand Theft Parsons ,88,6.1
I Want Someone to Eat Cheese With ,80,6.2
An Alan Smithee Film: Burn Hollywood Burn ,86,3.5
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo ,80,2.6
Flywheel ,120,6.9
Men of War ,76,5.8
Can't Stop the Music ,124,4.5
Prophecy ,102,5.4
Gunless ,89,6.5
Adam Resurrected ,106,6.3
Free State of Jones ,139,6.7
High Heels and Low Lifes ,86,6.2
The Other Dream Team ,89,8.4
George and the Dragon ,93,5.7
Destiny ,,8.1
Trapeze ,105,6.8
Drive Hard ,92,4.3
Losin' It ,100,4.8
Light It Up ,99,6
My Baby's Daddy ,86,4.5
Stung ,87,5
A Thin Line Between Love and Hate ,108,5.6
Jonah: A VeggieTales Movie ,82,6.6
Blue Car ,88,6.7
Queen of the Mountains ,135,8.7
Mad Hot Ballroom ,105,7.5
The Four Seasons ,107,7.2
Annie Get Your Gun ,107,7
Viy ,107,5.4
The Longshots ,94,5.1
Wild Grass ,104,6.3
The Brothers ,106,6.3
The Other Side of Heaven ,113,6.5
Bobby Jones: Stroke of Genius ,128,6.7
King's Ransom ,95,4.1
The Pirate ,102,7.1
A Dog's Breakfast ,88,7
A Dog's Breakfast ,88,7
Dum Maaro Dum ,128,6.2
Kingdom of the Spiders ,97,5.9
United Passions ,110,2
The Girlfriend Experience             ,27,7.3
Silmido ,135,7.2
Incident at Loch Ness ,94,6.6
Another Happy Day ,119,6
Slow Burn ,93,5.9
Sausage Party ,89,7.5
Cabin Fever ,99,3.7
Nomad: The Warrior ,112,6
The Family             ,60,7.5
Standard Operating Procedure ,118,7.5
Sheena ,117,4.8
Sweet Sweetback's Baadasssss Song ,97,5.5
Wordplay ,94,7.4
The Streets of San Francisco             ,120,7.3
Good Boy! ,87,5.1
Love and Death on Long Island ,93,7.1
Benji ,86,6.1
The Business of Strangers ,84,6.4
Chasing Papi ,76,4.8
Bathory: Countess of Blood ,141,6
Sunshine State ,141,6.9
Barry Munday ,95,5.9
Sweet Charity ,154,7
Madadayo ,134,7.5
The Virginity Hit ,86,4.6
Twin Falls Idaho ,111,7.3
The Mudge Boy ,94,7.2
Heli ,105,6.8
Baghead ,84,6
The Incredibly True Adventure of Two Girls in Love ,94,6.5
Kansas City ,116,6.3
Show Boat ,108,7
Kevin Hart: Laugh at My Pain ,89,7.5
"Remember Me, My Love ",125,6.5
Groove ,86,6.5
When Did You Last See Your Father? ,92,6.9
House Party 2 ,94,5.1
The Good Heart ,99,6.9
Straight A's ,91,5.7
The Real Cancun ,96,2.7
Gracie ,95,6.2
ZMD: Zombies of Mass Destruction ,89,5.1
On the Line ,85,4.1
Motherhood ,90,4.7
For Greater Glory: The True Story of Cristiada ,145,6.6
Light Sleeper ,103,6.8
Whipped ,82,4.4
Animal Kingdom             ,60,8.1
Quinceañera ,90,7.1
After ,90,5.4
Damnation Alley ,91,5.2
Men with Brooms ,102,6
The Cry of the Owl ,100,6
I Dreamed of Africa ,114,5.6
Green Street 3: Never Back Down ,93,5.4
Harvard Man ,99,4.9
Salvation Boulevard ,96,5.3
The Last Shot ,93,5.7
Shadow Conspiracy ,103,4.9
The Battle of Shaker Heights ,79,6.1
When the Lights Went Out ,86,5.4
The Company             ,286,7.9
Exeter ,91,4.6
Rapa Nui ,107,6.4
Riding Giants ,105,7.9
Doogal ,77,2.8
Saving Grace             ,60,7.5
Saving Grace             ,60,7.5
There Be Dragons ,102,5.9
The Country Bears ,88,4
The Dirties ,83,6.7
Modern Problems ,93,5
Captive ,97,5.3
The Crew ,88,5.6
A Low Down Dirty Shame ,100,5.8
Clean ,110,6.9
Supercross ,80,4
Letters to God ,110,6.3
Warlock: The Armageddon ,98,5.3
The Poker House ,93,6.5
Masked and Anonymous ,112,5.5
Khumba ,85,5.8
Far from Men ,101,7.3
Decoys ,95,4.6
Clockwatchers ,96,6.4
Living Out Loud ,100,6.6
Thr3e ,101,5.1
Peeples ,95,5.3
The Puffy Chair ,85,6.6
Q ,103,5.6
Shanghai Surprise ,97,3
The Adventures of Pinocchio ,90,5.3
Zipper ,103,5.7
Pound of Flesh ,104,5.1
Get on the Bus ,120,6.8
Town & Country ,104,4.4
Wal-Mart: The High Cost of Low Price ,20,6.8
Chain Letter ,88,4.1
The Extra Man ,108,5.9
The Veil ,93,4.7
Not Cool ,93,5.1
Griff the Invisible ,90,6.1
Pooh's Heffalump Movie ,68,6.4
Strangers with Candy             ,22,8.1
The Adventurer: The Curse of the Midas Box ,100,5.4
Only the Strong ,99,6.7
Next Stop Wonderland ,104,6.7
Coffee Town ,87,6.6
3 ,119,6.8
Breakin' All the Rules ,85,5.5
Let's Kill Ward's Wife ,82,5.4
Thunder and the House of Magic ,85,6.3
A Madea Christmas ,100,4.7
My Date with Drew ,90,6.6
A Simple Wish ,89,5.4
Witchboard ,98,5.7
Two Evil Eyes ,120,6.1
Nerve ,96,7.1
Pocketful of Miracles ,136,7.3
Farce of the Penguins ,80,4.2
Two Can Play That Game ,90,6.1
The Players Club ,104,5.6
Dinner Rush ,99,7.3
End of the Spear ,108,7
Foodfight! ,91,1.7
Love Stinks ,94,5.8
Obitaemyy ostrov ,115,5.3
City of Ghosts ,116,6
Mississippi Mermaid ,123,7.2
The Bachelor             ,60,2.9
Trekkies ,86,7
The Rocket: The Legend of Rocket Richard ,124,7.7
Old Joy ,76,6.7
A Touch of Frost             ,105,7.8
A Room for Romeo Brass ,90,7.7
All Is Bright ,107,5.6
God's Not Dead 2 ,120,3.4
I Am Wrath ,92,5.2
Marci X ,80,2.8
The Gatekeepers ,101,7.6
55 Days at Peking ,154,6.8
Some Guy Who Kills People ,97,6.4
The Circle ,90,7.5
Hey Arnold! The Movie ,76,5.9
Tales from the Hood ,98,6.1
To Save a Life ,120,7.1
In Too Deep ,95,6.1
Animals United ,93,4.9
How She Move ,94,3.3
Idlewild ,121,6.2
Psycho Beach Party ,85,6.3
Khiladi 786 ,141,4.3
Bad Moms ,100,6.7
Bad Moms ,100,6.7
Chuck & Buck ,96,6.6
The Toxic Avenger Part II ,96,5.1
1911 ,121,6
The Omega Code ,100,3.5
The Original Kings of Comedy ,115,6.6
Forsaken ,90,6.3
Forsaken ,90,6.3
Lady in White ,118,6.7
The Bubble ,90,7.3
Kit Kittredge: An American Girl ,101,6.7
Raising Victor Vargas ,88,7.2
School Daze ,121,5.8
Texas Rangers ,110,5.2
The Widow of Saint-Pierre ,112,7.3
The Dark Hours ,80,6.1
Train ,94,4.8
The Blood of Heroes ,90,6.5
Flight of the Intruder ,115,5.7
The Other End of the Line ,106,6.2
Extreme Ops ,93,4.5
Special ,81,6.9
Forget Me Not ,103,5.2
Underclassman ,95,4.1
The Horseman on the Roof ,135,7.1
Northfork ,103,6.4
Space Battleship Yamato ,138,6.1
Girl House ,99,5.5
Falcon Rising ,103,5.8
Girl 6 ,108,5
Stone Cold ,88,5.9
Saint Ralph ,98,7.6
Do You Believe? ,120,5.9
"Ultramarines: A Warhammer 40,000 Movie ",76,5.7
Blonde Ambition ,93,3.9
The Clan of the Cave Bear ,98,5.3
Charly ,103,7.1
Ajami ,124,7.4
Accidental Love ,100,4
Timber Falls ,100,5.3
Brighton Rock ,111,5.7
Last Orders ,109,7
Dungeons & Dragons: Wrath of the Dragon God ,105,4.9
ABCD (Any Body Can Dance) ,160,6.4
Enter Nowhere ,90,6.6
Brooklyn Rules ,99,6.4
Airborne ,91,6.2
Legends of Oz: Dorothy's Return ,88,5.6
Perrier's Bounty ,88,6.4
Nothing ,90,6.3
Chairman of the Board ,95,2.3
Won't Back Down ,121,6.4
Aimee & Jaguar ,125,7.3
Three Kingdoms: Resurrection of the Dragon ,102,6.2
Glee: The 3D Concert Movie ,84,5.4
Limbo ,126,7.1
The Wendell Baker Story ,99,5.5
Sparkle ,116,5.7
Digimon: The Movie ,82,5.9
Molière ,120,7.3
Bogus ,110,5.3
Tadpole ,78,6.3
Highway ,97,6.3
Invaders from Mars ,100,5.5
Jack Brooks: Monster Slayer ,90,6
Zambezia ,83,5.8
Skin Trade ,96,5.7
Meteor ,108,4.9
The Claim ,115,6.5
The Claim ,115,6.5
Criminal Activities ,94,5.8
Soul Food ,115,6.9
Major Dundee ,152,6.8
Juwanna Mann ,91,4.5
The White Countess ,135,6.7
Shorts ,89,4.9
A Turtle's Tale: Sammy's Adventures ,88,6.1
How Stella Got Her Groove Back ,124,5.5
Double Take ,88,5.3
Godzilla 2000 ,99,6
Witless Protection ,97,3.1
Life During Wartime ,98,6.5
The Bold and the Beautiful             ,30,3.5
The Hammer ,88,7.3
The Oh in Ohio ,88,5.6
Happy Christmas ,82,5.6
A Perfect Plan ,104,6.3
Under the Same Moon ,106,7.4
Mambo Italiano ,92,6.7
10th & Wolf ,107,6.4
F.I.S.T. ,145,6.4
Ghost Hunters             ,60,6.6
The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It ,82,2.7
Roll Bounce ,112,6
Cats Don't Dance ,75,6.9
The Caveman's Valentine ,105,6
Fateless ,134,7.1
Atlas Shrugged II: The Strike ,111,5.5
The Wash ,93,4.6
Six-String Samurai ,91,6.7
Strangerland ,112,5.2
Earth ,110,7.8
Oscar and Lucinda ,132,6.7
The Crocodile Hunter: Collision Course ,90,5.4
Good ,92,6.2
Mrs. Winterbourne ,105,6.2
Prefontaine ,106,6.8
Rugrats Go Wild ,80,5.6
Wolves ,91,5.3
Freakonomics ,93,6.4
Sleep Dealer ,90,5.9
Tarnation ,88,7.2
The Devil's Tomb ,90,3.8
Our Family Wedding ,103,4.9
Beneath Hill 60 ,122,7.1
Ulee's Gold ,113,7.1
Closure ,80,5.6
Jindabyne ,118,6.4
Donovan's Reef ,109,6.9
Max Keeble's Big Move ,91,5.3
One Night with the King ,123,6.3
"Bright Lights, Big City ",107,5.6
The Player             ,60,7.1
Without Limits ,117,7.2
Freeheld ,103,6.5
Plastic ,102,6
"Yours, Mine and Ours ",111,7.2
The Man from Snowy River ,102,7.3
Kung Fu Killer ,100,6.5
Waterloo ,134,7.3
Against the Ropes ,110,5.3
Crazy in Alabama ,111,6.3
Johnson Family Vacation ,97,4.3
